1,1,SAME,0,,2,16,YES,1
1,28,CONSIDER,0,,2,34,YES,1
2,2,CONSIDER,0,,2,35,YES,1
2,28,CONSIDER,0,,2,37,YES,1
2,16,YES,1,,8,35,YES,1
2,30,REVERSE,0,,8,37,YES,1
2,34,YES,1,,12,14,YES,1
2,35,YES,1,,12,49,YES,1
2,36,CONSIDER,0,,16,37,YES,1
2,37,YES,1,,28,42,YES,1
2,49,REVERSE,0,,33,42,YES,1
3,3,SAME,0,,36,11,YES,1
4,4,SAME,0,,36,34,YES,1
5,5,SAME,0,,36,37,YES,1
5,28,CONSIDER,0,,45,32,YES,1
5,33,CONSIDER,0,,49,16,YES,1
6,6,SAME,0,,49,2,YES,1
7,7,SAME,0,,49,34,YES,1
8,8,SAME,0,,49,35,YES,1
8,16,CONSIDER,0,,,,,
8,30,CONSIDER,0,,,,,
8,35,YES,1,,,,,
8,36,CONSIDER,0,,,,,
8,37,YES,1,,,,,
8,49,CONSIDER,0,,,,,
9,9,SAME,0,,,,,
9,27,CONSIDER,0,,,,,
9,31,CONSIDER,0,,,,,
10,10,SAME,0,,,,,
11,11,SAME,0,,,,,
11,34,CONSIDER,0,,,,,
11,35,CONSIDER,0,,,,,
11,36,REVERSE,0,,,,,
12,12,SAME,0,,,,,
12,14,YES,1,,,,,
12,49,YES,1,,,,,
13,13,SAME,0,,,,,
14,12,REVERSE,0,,,,,
14,14,SAME,0,,,,,
14,35,CONSIDER,0,,,,,
15,15,SAME,0,,,,,
16,2,REVERSE,0,,,,,
16,30,CONSIDER,0,,,,,
16,34,CONSIDER,0,,,,,
16,35,CONSIDER,0,,,,,
16,36,CONSIDER,0,,,,,
16,37,YES,1,,,,,
16,49,REVERSE,0,,,,,
17,17,SAME,0,,,,,
18,18,SAME,0,,,,,
18,34,CONSIDER,0,,,,,
18,35,CONSIDER,0,,,,,
19,19,SAME,0,,,,,
20,20,SAME,0,,,,,
21,21,SAME,0,,,,,
22,22,SAME,0,,,,,
23,23,SAME,0,,,,,
24,24,SAME,0,,,,,
25,25,SAME,0,,,,,
25,35,CONSIDER,0,,,,,
26,26,SAME,0,,,,,
27,27,SAME,0,,,,,
27,9,CONSIDER,0,,,,,
28,1,CONSIDER,0,,,,,
28,28,CONSIDER,0,,,,,
28,33,CONSIDER,0,,,,,
28,42,YES,1,,,,,
28,5,CONSIDER,0,,,,,
29,29,SAME,0,,,,,
3,3,SAME,0,,,,,
30,16,CONSIDER,0,,,,,
30,30,SAME,0,,,,,
30,35,CONSIDER,0,,,,,
30,36,CONSIDER,0,,,,,
30,49,REVERSE,0,,,,,
31,9,CONSIDER,0,,,,,
31,31,SAME,0,,,,,
32,32,SAME,0,,,,,
32,45,REVERSE,0,,,,,
33,28,CONSIDER,0,,,,,
33,33,SAME,0,,,,,
33,42,YES,1,,,,,
33,5,CONSIDER,0,,,,,
34,11,CONSIDER,0,,,,,
34,16,CONSIDER,0,,,,,
34,18,CONSIDER,0,,,,,
34,2,REVERSE,0,,,,,
34,34,SAME,0,,,,,
34,35,CONSIDER,0,,,,,
34,36,REVERSE,0,,,,,
34,37,CONSIDER,0,,,,,
34,49,REVERSE,0,,,,,
35,11,CONSIDER,0,,,,,
35,14,CONSIDER,0,,,,,
35,16,CONSIDER,0,,,,,
35,18,CONSIDER,0,,,,,
35,2,REVERSE,0,,,,,
35,25,CONSIDER,0,,,,,
35,30,CONSIDER,0,,,,,
35,34,CONSIDER,0,,,,,
35,35,SAME,0,,,,,
35,36,CONSIDER,0,,,,,
35,37,CONSIDER,0,,,,,
35,49,REVERSE,0,,,,,
35,8,REVERSE,0,,,,,
36,11,YES,1,,,,,
36,16,CONSIDER,0,,,,,
36,2,CONSIDER,0,,,,,
36,30,CONSIDER,0,,,,,
36,34,YES,1,,,,,
36,35,CONSIDER,0,,,,,
36,36,SAME,0,,,,,
36,37,YES,1,,,,,
36,49,CONSIDER,0,,,,,
36,11,YES,1,,,,,
36,34,YES,1,,,,,
36,37,YES,1,,,,,
37,2,REVERSE,0,,,,,
45,32,YES,1,,,,,
49,16,YES,1,,,,,
49,2,YES,1,,,,,
49,34,YES,1,,,,,
49,35,YES,1,,,,,
